text,intent
i have a headache for 6 hrs,ask_symptom
blood pressure 150/90,give_symptom
vomiting now,give_symptom
qwrty 123,gibberish
my throat hurts for 4 hrs!!!,ask_symptom
skin itching after food - moderate...,give_symptom
cheers!!!,thanks
ttyl,goodbye
skin itching after food - very bad while sleeping,give_symptom
random noise 890 ea#5sjjwad3,gibberish
sore throat since morning for 24 mins - moderate in office?,give_symptom
cheers,thanks
i feel nauseous for 24 mins - very bad at home,ask_symptom
pls tightness in chest,give_symptom
i have fever,ask_symptom
loremipsumdolor jk5w12,gibberish
good evening,greet
??!!?? dgkfljlqs,gibberish
tightness in chest,give_symptom
"btw, i'm coughing?",ask_symptom
goodbye,goodbye
coughing for 3 hrs - very bad,give_symptom
sore THROAT since morning...,give_symptom
i feel nauseous in office,ask_symptom
random noise 890,gibberish
"hi, severe bleeding",emergency
ggggggg,gibberish
qwrty 123,gibberish
heart rate 110 bpm,give_symptom
sore throat since morning for 3 mins - very bad at home,give_symptom
i'm coughing,ask_symptom
hi,greet
fling dizzy,ask_symptom
skin itching after food - very bad,give_symptom
see ya,goodbye
"btw, severe allergic reaction",emergency
"pls help, feeling dizzy for 24 mins",ask_symptom
severe bleeding,emergency
feeling dizzy - moderate,ask_symptom
diarrhea 4 times for 6 days - very bad while sleeping,give_symptom
help! can't breathe - very bad,emergency
diarrhea 4 times for 4 mins,give_symptom
i feel weak after food,ask_symptom
tightness in chest - very bad,give_symptom
qwrty 123,gibberish
"yo, collapse - slight after food",emergency
i have chest pain for 4 days,ask_symptom
i have fever - slight,ask_symptom
i have chest pain for 24 days while sleeping,ask_symptom
hjkl; 098,gibberish
sore throat since morning for 1 days,give_symptom
i feel nauseous - mild,ask_symptom
i hve a headche,ask_symptom
i have fever for 4 mins,ask_symptom
asd asd asd fjhfl3k,gibberish
help! can't breathe for 3 mins,emergency
coughing for 3 hrs for 3 days,give_symptom
random noise 890 qhqed@ladrr,gibberish
coughing for 3 hrs for 12 days,give_symptom
pls drrhea 4 tims - slight,give_symptom
??!!??,gibberish
ggggggg j1rg,gibberish
pls suddn prlysis,emergency
i have fever,ask_symptom
!!!@@@ @fd@kfwg!,gibberish
skin itching aftr fod fr 2 mns,give_symptom
farewell!?,goodbye
"pls help, blood pressure 150/90 for 2 hrs - moderate while sleeping",give_symptom
!!!@@@ rk#l2,gibberish
i have fever,ask_symptom
"btw, blod bp 150/90 for 6 dys",give_symptom
 have a rash - moderat,ask_symptom
asd asd asd l#h#g3,gibberish
"hey, high temp 39C - very bad after exercise",give_symptom
zzzzzzzz,gibberish
hey!!,greet
vomiting now - moderate?,give_symptom
ttyl,goodbye
vomiting now for 6 days - severe,give_symptom
thanks a lot,thanks
THANKS,thanks
"so, i feel nauseous",ask_symptom
i feel weak for 3 mins,ask_symptom
thx,thanks
qwrty 123 gr#w2srl#2j,gibberish
random noise 890 gh5e,gibberish
vomiting now,give_symptom
skin itching after food...,give_symptom
i feel weak - moderate in office,ask_symptom
my throat hurts for 2 mins at home,ask_symptom
i have fever for 3 mins - moderate,ask_symptom
vomiting now for 1 days - moderate,give_symptom
i have fever,ask_symptom
severe chest PAIN - severe!!!,emergency
i'm short of breth for 2 mns?,ask_symptom
"yo, blood pressure 150/90",give_symptom
collapse,emergency
hey,greet
my throat hurts for 12 mins while sleeping!?,ask_symptom
i feel nauseous,ask_symptom
i feel weak for 2 days,ask_symptom
coghing for 3 hrs for 12 hrs - very bad,give_symptom
i have a headache for 6 days - moderate,ask_symptom
sudden paralysis,emergency
ggggggg @wj42h3#@!,gibberish
loss sob vision,emergency
good morning!?,greet
pls i have fver,ask_symptom
unconscious - moderate,emergency
qwrty 123 2@ka,gibberish
i feel weak,ask_symptom
skin itching after food - mild,give_symptom
my throat hurts,ask_symptom
urgent ambulance for 1 mins,emergency
hey!!!,greet
random noise 890 ldfk4s5he,gibberish
i have chest pain for 12 days,ask_symptom
severe burn,emergency
??!!?? ff2jqj5sgl,gibberish
unconscious - slight,emergency
i have chest pain for 4 hrs,ask_symptom
i have a rash,ask_symptom
hiya,greet
asd asd asd,gibberish
sore throat since morning for 1 mins - slight,give_symptom
hjkl; 098,gibberish
hi,greet
loss of vision - very bad,emergency
random noise 890,gibberish
??!!?? hgr@,gibberish
diarrhea 4 times...,give_symptom
i have a rash for 6 hrs at home?,ask_symptom
"yo, cheers",thanks
i feel nauseous,ask_symptom
blood pressure 150/90,give_symptom
"pls help, talk LATER...",goodbye
drrhe 4 tms,give_symptom
i have FEVER - slight,ask_symptom
help! cn't brath,emergency
tightness IN chest - very bad after food,give_symptom
FEELING dizzy for 1 hrs - mild,ask_symptom
vomiting now for 4 days,give_symptom
!!!@@@ dk4,gibberish
pls severe allergic reaction - severe after food!!!,emergency
"so, hiy!!!",greet
blood pressure 150/90 - slight,give_symptom
ggggggg,gibberish
bye,goodbye
'm coghing - slght!!!,ask_symptom
ggggggg,gibberish
i feel weak for 24 days,ask_symptom
i have a rash,ask_symptom
"HEY, chrs",thanks
qwrty 123,gibberish
i'm coughing for 12 hrs - severe after exercise,ask_symptom
qwrty 123,gibberish
i have a headache for 24 hrs - mild!!,ask_symptom
??!!?? !55wf,gibberish
i'm short of breath,ask_symptom
thanks  lot,thanks
??!!??,gibberish
thanks :),thanks
i feel nauseous,ask_symptom
feeling dizzy after food,ask_symptom
i've had fever for 2 days,give_symptom
high temp 39C for 3 mins!!!,give_symptom
loremipsumdolor,gibberish
severe chest pain for 4 days - severe,emergency
i have a headache!!!,ask_symptom
loremipsumdolor,gibberish
much appreciated...,thanks
my throat hurts for 1 hrs,ask_symptom
"hey, i'm short of breath",ask_symptom
i'm SHORT sob breath - slight,ask_symptom
??!!??,gibberish
blarg blap,gibberish
i've had fever for 2 days for 24 mins,give_symptom
"pls help, hi",greet
thank you,thanks
my throat hurts for 1 mins while sleeping,ask_symptom
i feel weak - severe after food...,ask_symptom
blarg blap,gibberish
heart rate 110 bpm,give_symptom
hjkl; 098 wlf4js,gibberish
my throat hurts,ask_symptom
qwrty 123,gibberish
i'v hd fver for 2 days for 3 hrs n ffice,give_symptom
help! can't breathe for 2 mins!?,emergency
i have a rash for 6 days,ask_symptom
sore throat since morning for 6 hrs...,give_symptom
i feel weak while sleeping,ask_symptom
"hey, sudden paralysis for 1 days",emergency
much appreciated,thanks
i have fever for 4 hrs - very bad at home,ask_symptom
goodbye,goodbye
i'm short of breath for 12 mins,ask_symptom
!!!@@@ !r!dws,gibberish
i have a headache for 24 days,ask_symptom
feeling dizzy,ask_symptom
pls yo,greet
thanks :),thanks
goodbye,goodbye
blarg blap ##1,gibberish
hey,greet
"hey, i have chest pain",ask_symptom
random noise 890,gibberish
"btw, coughing for 3 hrs for 12 hrs",give_symptom
thank you!?,thanks
vomiting now,give_symptom
i have chest pain for 1 mins,ask_symptom
"hey, hiya",greet
i hav chst PAIN - severe,ask_symptom
my throat hurts - moderate,ask_symptom
"btw, i hve fever",ask_symptom
lss f vision for 12 dys - slght in office,emergency
i have a headache,ask_symptom
help! can't breathe for 3 mins!!!,emergency
diarrhea 4 times,give_symptom
severe bleeding for 24 days,emergency
"so, i hv a rash",ask_symptom
i feel weak for 1 mins!!,ask_symptom
severe chest pain - moderate,emergency
yo,greet
severe brn - mld,emergency
sore throat since morning,give_symptom
blarg blap 4hksq,gibberish
??!!??,gibberish
heart rate 110 bpm for 1 days,give_symptom
i have fever for 1 days,ask_symptom
cheers,thanks
i've had fever for 2 days!!!,give_symptom
"hey, farewell",goodbye
i have a rash for 24 hrs - severe!!!,ask_symptom
"pls help, hi",greet
"yo, much appreciated?",thanks
!!!@@@,gibberish
zzzzzzzz l1agqrw,gibberish
random noise 890,gibberish
vomiting now - severe,give_symptom
asd asd asd,gibberish
severe bleeding for 4 mins - moderate!?,emergency
"btw, bye",goodbye
vomiting now - very bad!!,give_symptom
high temp 39C for 12 days,give_symptom
sudden paralysis,emergency
asd asd asd,gibberish
urgent ambulance,emergency
coughing for 3 hrs for 1 hrs,give_symptom
hjkl; 098,gibberish
"pls help, feeling dizzy for 2 hrs - mild while sleeping",ask_symptom
thanks?,thanks
sup,greet
bye bye,goodbye
"hi, coughing for 3 hrs",give_symptom
??!!?? fjg!4s#,gibberish
asd asd asd,gibberish
ggggggg,gibberish
i'm coughing - severe,ask_symptom
i feel wak,ask_symptom
i'm short of breath!!,ask_symptom
tightness in chest - moderate in office!!,give_symptom
i'm short of BREATH for 2 hrs,ask_symptom
pls my throat hurts for 24 mins - very bad,ask_symptom
hey there!!!,greet
asd asd asd,gibberish
i have chest pain while sleeping,ask_symptom
random noise 890,gibberish
ttyl!!!,goodbye
feeling dizzy for 2 days - slight?,ask_symptom
i've hd fevr fr 2 days,give_symptom
tightness in chest!!,give_symptom
"hi, i'm short of breath for 3 mins",ask_symptom
"pls hlp, yo",greet
!!!@@@,gibberish
much APPRECIATED!!,thanks
blood pressure 150/90 for 2 mins - slight!!!,give_symptom
diarrhea 4 times for 1 hrs!!,give_symptom
hey there,greet
hy thre,greet
thanks,thanks
i'm short of breath for 3 mins - severe,ask_symptom
i feel weak,ask_symptom
asd asd asd,gibberish
i have chest pain,ask_symptom
sore THROAT since morning,give_symptom
coughing for 3 hrs,give_symptom
i have a headache - mild...,ask_symptom
hey,greet
severe bleeding for 2 mins,emergency
"hi, blood pressure 150/90 for 4 mins",give_symptom
SEE ya,goodbye
loremipsumdolor,gibberish
 have  headch while sleping,ask_symptom
i feel weak for 12 days,ask_symptom
zzzzzzzz g4qe,gibberish
my throat hurts for 3 mins - moderate,ask_symptom
"pls help, vomiting now for 4 mins after exercise",give_symptom
blarg blap,gibberish
my throat hurts for 24 mins - mild after exercise,ask_symptom
i'm short of breath,ask_symptom
collapse - mderat!?,emergency
i feel nauseous for 12 days - mild,ask_symptom
"yo, feeling dizzy for 24 hrs - moderate",ask_symptom
i'm short of breath,ask_symptom
feeling dizzy for 12 hrs - severe,ask_symptom
i have fever for 12 hrs,ask_symptom
bpm rate 110 bpm for 4 days,give_symptom
pls i'm coughing,ask_symptom
sore throat since morning for 3 hrs while sleeping,give_symptom
high temp 39C - slight,give_symptom
blarg blap,gibberish
sudden paralysis,emergency
pls blood bp 150/90 - slight,give_symptom
feeling dizzy,ask_symptom
"so, farewell",goodbye
i have a headache!?,ask_symptom
high temp 39C for 4 mins,give_symptom
"so, severe bleeding in office",emergency
??!!?? hlhr!w3g,gibberish
ty,thanks
i feel nauseous for 24 hrs,ask_symptom
"btw, i'm coughing",ask_symptom
random noise 890,gibberish
i'm coughing,ask_symptom
sore throat since morning...,give_symptom
ggggggg,gibberish
blarg blap,gibberish
"pls help, my throat hurts",ask_symptom
"so, blood pressure 150/90 for 6 hrs while sleeping",give_symptom
"btw, feeling dizzy",ask_symptom
my throat hurts for 2 hrs,ask_symptom
i'm short of breath for 2 hrs after exercise,ask_symptom
"pls help, yo",greet
sore throat since morning,give_symptom
"hey, hi",greet
thanks :)!!,thanks
bye bye,goodbye
i have FEV,ask_symptom
??!!?? f!jflrhfa,gibberish
blarg blap,gibberish
ty,thanks
i have a rash for 1 days,ask_symptom
pls my throat hurts for 1 hrs,ask_symptom
!!!@@@ sq4qegl4djga,gibberish
 feel nauseous - severe aftr fod,ask_symptom
heart rate 110 bpm?,give_symptom
"hi, vomiting now",give_symptom
ggggggg,gibberish
urgent ambulance for 4 mins - severe,emergency
i'm coughing,ask_symptom
i have a rash - very bad in office,ask_symptom
i've had fever for 2 days for 12 days,give_symptom
mornng,greet
pls i feel weak!?,ask_symptom
qwrty 123,gibberish
diarrhea 4 times for 3 days,give_symptom
zzzzzzzz g1k@,gibberish
blarg blap fde@4h1@,gibberish
yo,greet
??!!??,gibberish
talk later!!!,goodbye
i'm coughng,ask_symptom
good evening,greet
pls farewell,goodbye
"so, coughing for 3 hrs FOR 6 days",give_symptom
bye!!,goodbye
i feel nauseous for 12 hrs after food,ask_symptom
i have chest pain,ask_symptom
hey,greet
i have fever,ask_symptom
i have fever,ask_symptom
i have a headache for 2 mins at home,ask_symptom
tightness in chest for 4 mins,give_symptom
see ya,goodbye
"hey, sore throat sinc mornng",give_symptom
i'm coughing for 3 mins,ask_symptom
hello,greet
??!!?? !d4jhw2,gibberish
bye,goodbye
asd asd asd,gibberish
blarg blap @drs,gibberish
feeling dizzy,ask_symptom
qwrty 123,gibberish
hr hr 110 bpm at home,give_symptom
zzzzzzzz,gibberish
ggggggg,gibberish
asd asd asd,gibberish
severe chest pain - severe,emergency
i'm coughing for 6 mins!!,ask_symptom
asd asd asd,gibberish
ttyl?,goodbye
coughing for 3 HRS,give_symptom
my throat hurts for 1 mins,ask_symptom
hello,greet
severe allergic reaction for 4 mins,emergency
diarrhea 4 times for 12 hrs,give_symptom
"hey, ty",thanks
morning!!!,greet
i feel weak,ask_symptom
!!!@@@,gibberish
heart rate 110 bpm for 3 mins,give_symptom
??!!??,gibberish
"so, thanks a lot",thanks
i've had fever for 2 days for 24 days!!,give_symptom
loss of vision,emergency
"so, THX",thanks
ggggggg,gibberish
i have a headache!?,ask_symptom
tightness in chst - very bad,give_symptom
random noise 890,gibberish
hjkl; 098,gibberish
uncnscius,emergency
"hi, sore throat since morning for 6 hrs",give_symptom
high temp 39C - severe,give_symptom
"hi, blood pressre 150/90 for 24 days",give_symptom
"pls help, skin itching after food",give_symptom
"hi, cheers",thanks
i've had fever for 2 days for 24 hrs,give_symptom
i have a rash - mild,ask_symptom
sore throat SINCE morning for 24 hrs?,give_symptom
i'm coughing,ask_symptom
qwrty 123 15@12d5d1!e#,gibberish
my thrat hurts,ask_symptom
pls feeling dizzy for 12 mins?,ask_symptom
"hi, thanks a lot",thanks
bye,goodbye
i'm coughing for 6 mins,ask_symptom
blood pressure 150/90 for 1 HRS,give_symptom
"so, i have a rash for 6 mins",ask_symptom
fling dzzy fr 3 days,ask_symptom
"yo, thanks :)",thanks
zzzzzzzz,gibberish
"hey, thanks",thanks
"btw, my thrat hurts for 1 days",ask_symptom
hiya,greet
ty,thanks
feeling dizzy - very bad,ask_symptom
skin itching after food for 1 hrs after EXERCISE,give_symptom
blood pressure 150/90 for 3 days,give_symptom
"hey, urgent AMBULANCE for 3 hrs - slight in office",emergency
!!!@@@,gibberish
qwrty 123 2!q,gibberish
pls talk later,goodbye
hi,greet
??!!?? g2!a#r3@kd,gibberish
i'm coughing - severe,ask_symptom
hgh temp 39C for 24 dys - mdrte!!!,give_symptom
i have a headache,ask_symptom
sup,greet
i have a rash,ask_symptom
high temp 39C t hm,give_symptom
severe bleeding after food,emergency
pls i have chest pain for 24 hrs after exercise,ask_symptom
feeling dizzy for 1 days,ask_symptom
my throat hurts for 4 hrs,ask_symptom
my throat hurts - moderate,ask_symptom
ttyl,goodbye
asd asd asd !1g,gibberish
pls i have a rash for 24 hrs,ask_symptom
random noise 890,gibberish
bye,goodbye
hello,greet
coughing fr 3 hrs for 3 days,give_symptom
i'm coughing for 4 days,ask_symptom
i'm short of breath for 6 hrs,ask_symptom
collapse - severe,emergency
i have a rash,ask_symptom
sddn parlyss,emergency
bye bye,goodbye
!!!@@@ 32swwd#gee,gibberish
blarg blap e134#3,gibberish
sudden paralysis for 12 mins,emergency
i'm short OF breath - moderate...,ask_symptom
??!!?? rka,gibberish
I feel nauseous after food,ask_symptom
i'm coughing while sleeping!!!,ask_symptom
i have chest pain for 2 hrs,ask_symptom
felng dzzy,ask_symptom
hey?,greet
??!!??,gibberish
hi,greet
chrs,thanks
coughing for 3 hrs - slight...,give_symptom
sevre llrgic reacton,emergency
blood pressure 150/90 while sleeping,give_symptom
i have chest pain,ask_symptom
"yo, my throat hurts",ask_symptom
heart rate 110 bpm for 1 hrs,give_symptom
loss of vision for 2 mins,emergency
i hv chest pain,ask_symptom
i'm short sob breath for 24 mins - very bad,ask_symptom
i'm short of breath,ask_symptom
sup!!,greet
ggggggg ggq5g#r#!hsj,gibberish
i have chest pain - very bad,ask_symptom
bpm rate 110 bpm for 4 days - slight,give_symptom
loremipsumdolor,gibberish
hjkl; 098,gibberish
severe allergic reaction - severe after exercise,emergency
skin itching after food for 6 days after exercise,give_symptom
loremipsumdolor le12h5hd@@da,gibberish
!!!@@@,gibberish
 hv fever,ask_symptom
 hve  hedach for 2 hrs - sevr,ask_symptom
loremipsumdolor,gibberish
my throat hurts,ask_symptom
i have a headache!!!,ask_symptom
ggggggg,gibberish
talk later,goodbye
much appreciated,thanks
i feel weak at home,ask_symptom
i've had fever for 2 days!?,give_symptom
thx,thanks
"so, god morning",greet
hey there,greet
"pls help, i have a rash - very bad",ask_symptom
feeling dizzy,ask_symptom
heart rate 110 bpm for 2 mins,give_symptom
ggggggg,gibberish
thank you,thanks
hy ther?,greet
i have fever,ask_symptom
??!!?? qjk23whl@ra,gibberish
"btw, good evening",greet
talk later?,goodbye
help! can't breathe for 3 days!!,emergency
i have a headache - very bad!!!,ask_symptom
i feel nauseous in office,ask_symptom
"pls help, i feel nauseous for 24 hrs",ask_symptom
i have a rsh fr 6 days,ask_symptom
i'm short sob breath - very bad,ask_symptom
random noise 890,gibberish
"hey, urgent ambulance for 6 hrs after exercise!!",emergency
!!!@@@ js#r3#4s3#1,gibberish
bye bye,goodbye
"so, i'm coughing - mild",ask_symptom
coughing for 3 hrs,give_symptom
diarrhea 4 times,give_symptom
high temp 39C,give_symptom
pls i feel nauseous after exercise,ask_symptom
collapse - very bad after food,emergency
heart rate 110 bpm for 6 days in office?,give_symptom
random noise 890,gibberish
i feel nauseous for 6 mins,ask_symptom
blood pressure 150/90 for 4 hrs,give_symptom
??!!?? d2@,gibberish
hjkl; 098,gibberish
i have a headache at home,ask_symptom
hjkl; 098,gibberish
ty,thanks
blarg blap 5ef#je@#3,gibberish
"so, feeling dizzy for 24 mins - mild",ask_symptom
thanks!?,thanks
skin itching after food for 1 hrs!!!,give_symptom
zzzzzzzz,gibberish
i have a rash,ask_symptom
!!!@@@,gibberish
feeling dizzy - mild,ask_symptom
asd asd asd,gibberish
vomiting now,give_symptom
"hey, unconscius for 1 mns!!",emergency
hey,greet
morning,greet
skin itching after food for 3 days - severe,give_symptom
hey there,greet
coughing for 3 hrs for 3 hrs,give_symptom
thanks,thanks
i have a headache for 12 days,ask_symptom
my throat hurts,ask_symptom
i've had fever for 2 days for 12 mins,give_symptom
severe allergic racton!!!,emergency
morning,greet
pls my thrt hurts,ask_symptom
"pls help, talk later",goodbye
i have chest pain for 2 hrs,ask_symptom
thx,thanks
blarg blap sqss53hg2w!#,gibberish
skin itching after food - very bad,give_symptom
good evening,greet
good morning,greet
sor thrat since morning!?,give_symptom
y,greet
feeling dizzy,ask_symptom
cheers,thanks
asd asd asd,gibberish
i have a rash for 12 hrs after food,ask_symptom
"yo, sore throat since morning for 1 days",give_symptom
SUP,greet
i feel nauseous for 1 days,ask_symptom
i'm short of breath!!,ask_symptom
i'm short of breath for 2 days - moderate!!!,ask_symptom
my throat hurts,ask_symptom
my throat hurts for 3 mins,ask_symptom
thank you,thanks
"pls help, i have a headache!?",ask_symptom
feeling dizzy!!,ask_symptom
yo,greet
"so, heart hr 110 bpm - mild",give_symptom
feeling dizzy for 1 days,ask_symptom
hi,greet
hello?,greet
feeling dizzy,ask_symptom
thanks a lot?,thanks
i feel nauseous - moderate,ask_symptom
much appreciated,thanks
i have chest pain - severe,ask_symptom
hey,greet
pls my throat hurts,ask_symptom
"btw, skin itching after food for 3 mins",give_symptom
blood pressure 150/90,give_symptom
sore throat since morning for 6 mins - very bad,give_symptom
i've had fever for 2 days,give_symptom
!!!@@@,gibberish
asd asd asd,gibberish
bye,goodbye
coughing for 3 hrs for 3 hrs?,give_symptom
high temp 39C for 6 days,give_symptom
zzzzzzzz,gibberish
loremipsumdolor r#5,gibberish
hello,greet
hiya,greet
unconscious for 12 hrs after food?,emergency
"btw, i'm coughing",ask_symptom
??!!??,gibberish
mrning!!!,greet
hiya!!!,greet
!!!@@@ je@qa5!hr@rr,gibberish
loremipsumdolor,gibberish
random noise 890 5@lr#11gr25l,gibberish
i have chest pain,ask_symptom
thnk you,thanks
i have chest pain for 4 days,ask_symptom
feeling dizzy - very bad,ask_symptom
"hi, i feel weak - moderate",ask_symptom
i've had fever for 2 days for 12 mins - mild!!!,give_symptom
blood pressure 150/90,give_symptom
my throat hurts at home,ask_symptom
tghtness in chst!?,give_symptom
i'm coughing for 3 days!?,ask_symptom
blarg blap ldfjqh,gibberish
goodbye,goodbye
i'm short of breath,ask_symptom
loss of vision for 12 mins,emergency
i have chest pain,ask_symptom
blarg blap,gibberish
high temp 39C for 4 days,give_symptom
!!!@@@,gibberish
i have fever - severe,ask_symptom
blarg blap 4#5a@3jsl224,gibberish
bld bp 150/90,give_symptom
asd asd asd wdfgsg1,gibberish
tightness in chest for 6 mins,give_symptom
bpm hr 110 bpm,give_symptom
urgent ambulance - moderate,emergency
??!!?? a4w!a,gibberish
my throat hurts for 4 mins,ask_symptom
"so, tightness n chest for 2 dys in ffic",give_symptom
diarrhea 4 times for 1 mins after food,give_symptom
loremipsumdolor,gibberish
i HAVE chest pain,ask_symptom
"pls help, high temp 39C for 1 hrs",give_symptom
loremipsumdolor dqj4asfwf!,gibberish
 feel nseous fr 1 hrs,ask_symptom
i have a headache!?,ask_symptom
my throat hurts after food!!,ask_symptom
coughing for 3 hrs for 2 hrs,give_symptom
talk later,goodbye
i have a rash for 6 days,ask_symptom
i have chest pain - severe!?,ask_symptom
good evening!!!,greet
blood pressure 150/90 for 2 hrs at home...,give_symptom
'm coughng n FFICE,ask_symptom
i have a headache for 4 mins - very bad,ask_symptom
i have a headache?,ask_symptom
sore throat since morning - severe,give_symptom
high temp 39C for 1 hrs,give_symptom
random noise 890 f##4dl#q#1,gibberish
high temp 39C in office,give_symptom
tlk later,goodbye
sore throat since morning after exercise,give_symptom
farewell,goodbye
blarg blap,gibberish
urgent ambulance - severe,emergency
"so, sore throat since morning",give_symptom
severe chest pain,emergency
hr rate 110 bpm for 12 hrs - severe,give_symptom
high temp 39C for 12 days!?,give_symptom
i have chest pain - very bad,ask_symptom
random noise 890,gibberish
hello,greet
TTYL,goodbye
i have chest pain,ask_symptom
"so, i have a rash",ask_symptom
i've had fever for 2 days,give_symptom
pls i have a headache - severe,ask_symptom
thanks a lot,thanks
"btw, i have chest pain for 1 mins in office...",ask_symptom
pls bp bp 150/90 - moderate at home,give_symptom
"so, sup",greet
hjkl; 098,gibberish
"hey, i have chest pain - very bad while sleeping",ask_symptom
thanks :),thanks
loremipsumdolor 53lfall,gibberish
"yo, feeling dizzy for 3 days",ask_symptom
skin tchng ftr food,give_symptom
skin itching after food,give_symptom
"hey, i'm short of breath",ask_symptom
"so, my throt hurts - mild",ask_symptom
!!!@@@ w51!4,gibberish
i feel nauseous,ask_symptom
good morning,greet
i feel nauseous after food,ask_symptom
vomiting now for 4 days,give_symptom
loremipsumdolor qls11w2,gibberish
severe allergic reaction for 1 mins,emergency
severe ALLERGIC reaction,emergency
"so, hey",greet
asd asd asd,gibberish
TALK later,goodbye
tightness in chest,give_symptom
"pls help, sore throat since morning while sleeping",give_symptom
i have fever for 3 hrs,ask_symptom
vomiting now for 12 mins while sleeping...,give_symptom
??!!?? !r14l1dkf,gibberish
!!!@@@,gibberish
i've had fever fr 2 days fr 24 dys,give_symptom
"pls help,  hav fever",ask_symptom
random noise 890,gibberish
ggggggg,gibberish
!!!@@@,gibberish
high temp 39C,give_symptom
thx,thanks
"so, thanks :)?",thanks
"yo, thank yo",thanks
"so, vomiting now",give_symptom
talk later,goodbye
!!!@@@ 5@gd4lw1gl,gibberish
gdbye,goodbye
blood pressure 150/90 after food,give_symptom
qwrty 123 3!5jwhehea,gibberish
i feel weak for 12 mins - mild!!!,ask_symptom
pls hello!?,greet
heart rate 110 bpm at home,give_symptom
zzzzzzzz,gibberish
i feel nauseous,ask_symptom
skin itching after food - slight?,give_symptom
"hey, i'm short of breath for 24 hrs?",ask_symptom
BYE...,goodbye
hey,greet
"pls help, TY",thanks
diarrhea 4 times for 12 mins - very bad,give_symptom
my throat hurts - very bad,ask_symptom
high temp 39C,give_symptom
'm coghng,ask_symptom
diarrhea 4 times - slight,give_symptom
high temp 39C for 6 hrs while sleeping,give_symptom
cya,goodbye
ttyl?,goodbye
i have a rash while sleeping,ask_symptom
i have a headache,ask_symptom
tightness in chest - severe,give_symptom
qwrty 123,gibberish
thx,thanks
see ya,goodbye
i have fever in office,ask_symptom
i feel nauseous for 2 hrs,ask_symptom
asd asd asd r3!wgq,gibberish
tghtnss in chst for 2 dys,give_symptom
hello!!,greet
hjkl; 098 w3!lj1ff4k1,gibberish
i feel nauseous for 12 hrs after food,ask_symptom
feeling dizzy after food,ask_symptom
pls talk later!?,goodbye
tightness in chest for 3 days - moderate in office,give_symptom
"yo, hey",greet
my thrat hrts for 6 mins,ask_symptom
i have a rash,ask_symptom
good morning,greet
blood pressure 150/90,give_symptom
HI,greet
i have a rsh,ask_symptom
??!!?? jl5q3j#j,gibberish
ggggggg,gibberish
coughing for 3 hrs while sleeping,give_symptom
severe chest pain - severe,emergency
!!!@@@ #erk@l42s1,gibberish
severe allergic reaction for 3 mins - mild!!,emergency
help! can't breathe for 1 hrs,emergency
feeling dizzy - slight,ask_symptom
talk later,goodbye
i have chest pain - very bad while sleeping,ask_symptom
qwrty 123 rj5,gibberish
"hi, i have chest pain - slight",ask_symptom
qwrty 123,gibberish
thanks :),thanks
i've had fever for 2 days in office,give_symptom
"hey, severe chest pain",emergency
severe chest pain for 4 hrs,emergency
feeling dizzy,ask_symptom
thanks :),thanks
i have fever for 4 days at home,ask_symptom
"so, i have a rash?",ask_symptom
i feel nauseous,ask_symptom
yo,greet
zzzzzzzz,gibberish
asd asd asd,gibberish
tightness in chest - moderate,give_symptom
severe burn - mild,emergency
"so, sore throat since morning - very bad",give_symptom
blood pressure 150/90!!!,give_symptom
"pls help, i have a headache",ask_symptom
cya,goodbye
pls i'm short of breath for 12 mins,ask_symptom
!!!@@@,gibberish
"btw, severe chest pain",emergency
my throat hurts - very BAD after food,ask_symptom
"so, i'm short of breath for 2 days",ask_symptom
i feel nauseous,ask_symptom
unconscious for 4 hrs,emergency
i have chest pain for 4 mins,ask_symptom
much appreciated?,thanks
i'm short sob breath,ask_symptom
feeling dizzy at home!!,ask_symptom
"hi, thanks",thanks
i feel WEAK,ask_symptom
i have a headache after exercise,ask_symptom
??!!?? rkdg4hgjgsh!,gibberish
loss of vision for 12 hrs after exercise,emergency
feeling dizzy for 1 hrs - slight,ask_symptom
 hve fevr,ask_symptom
!!!@@@ lq1glsl2,gibberish
"hey, high temp 39C!!",give_symptom
vomiting now,give_symptom
severe allergic reaction,emergency
"s, hy thr",greet
i'm coughing...,ask_symptom
i'm coughing for 6 hrs,ask_symptom
random noise 890 k!5j#!4,gibberish
i feel nasos for 6 dys ftr exercse...,ask_symptom
"hey, good evening",greet
goodbye,goodbye
i have a headache at home,ask_symptom
cya,goodbye
see ya,goodbye
by,goodbye
"yo, ty",thanks
loss of vision - severe,emergency
coughing for 3 hrs for 1 hrs,give_symptom
sr throt sinc mornng,give_symptom
diarrhea 4 times?,give_symptom
sevre chest pn,emergency
diarrhea 4 times for 3 hrs in office,give_symptom
qwrty 123,gibberish
i feel weak - moderate,ask_symptom
i'm short of breath,ask_symptom
my throat hurts for 2 hrs,ask_symptom
farewell,goodbye
"hi, blood pressure 150/90 for 12 hrs",give_symptom
i feel weak for 4 days - severe,ask_symptom
"pls help, goodbye?",goodbye
i have a rash for 24 mins - very bad,ask_symptom
blood pressure 150/90,give_symptom
!!!@@@ wdsjrdd!l,gibberish
i have a rash while sleeping,ask_symptom
blood pressure 150/90,give_symptom
pls collapse for 12 mins,emergency
feeling dizzy,ask_symptom
feeling dizzy...,ask_symptom
"pls help, much appreciated?",thanks
